Participant_ID,Type,Active,Removal_Round,Avg_Krum_Score
492,honest,True,N/A,4.448111966439683e-05
595,honest,True,N/A,4.36325205328103e-05
721,honest,True,N/A,2.432594855790171e-05
175,honest,True,N/A,3.672381102433064e-05
597,honest,True,N/A,3.066579135975189e-05
181,honest,True,N/A,2.709092639179289e-05
637,honest,True,N/A,2.4863301167954432e-05
65,honest,True,N/A,2.451292005574146e-05
654,honest,True,N/A,2.6503191270421668e-05
228,honest,True,N/A,2.3832327607919977e-05
450,adversarial,True,N/A,168.0425670601564
322,adversarial,True,N/A,336.0769249254922
469,adversarial,False,6,282.288299245362
238,adversarial,False,6,839.0662445823351
410,adversarial,False,9,763.1109377067098
643,adversarial,False,8,910.0035881889437
328,adversarial,False,10,169.62340145402263
407,adversarial,False,6,1383.4567084716011
373,adversarial,False,7,355.1019870171899
472,adversarial,False,6,830.7649740224412
623,adversarial,False,8,908.396363007847
